Tournament,Stage,Match Type,Match Name,Map,Player Team,Player,Enemy Team,Enemy,Player Kills,Enemy Kills,Difference,Kill Type
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,PatMen,Xi Lai Gaming,NoMan,4,6,-2,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,PatMen,Xi Lai Gaming,happywei,3,7,-4,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,PatMen,Xi Lai Gaming,Viva,3,2,1,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,PatMen,Xi Lai Gaming,coconut,5,5,0,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,PatMen,Xi Lai Gaming,Rarga,3,6,-3,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,d4v41,Xi Lai Gaming,NoMan,5,9,-4,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,d4v41,Xi Lai Gaming,happywei,6,2,4,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,d4v41,Xi Lai Gaming,Viva,5,4,1,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,d4v41,Xi Lai Gaming,coconut,5,4,1,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,d4v41,Xi Lai Gaming,Rarga,4,6,-2,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,something,Xi Lai Gaming,NoMan,10,7,3,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,something,Xi Lai Gaming,happywei,8,3,5,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,something,Xi Lai Gaming,Viva,9,4,5,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,something,Xi Lai Gaming,coconut,7,5,2,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,something,Xi Lai Gaming,Rarga,6,4,2,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,f0rsakeN,Xi Lai Gaming,NoMan,6,4,2,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,f0rsakeN,Xi Lai Gaming,happywei,10,4,6,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,f0rsakeN,Xi Lai Gaming,Viva,4,4,0,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,f0rsakeN,Xi Lai Gaming,coconut,9,5,4,All Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,f0rsakeN,Xi Lai Gaming,Rarga,12,8,4,All Kills
