Tournament,Stage,Match Type,Match Name,Map,Round Number,Eliminator Team,Eliminator,Eliminator Agent,Eliminated Team,Eliminated,Eliminated Agent,Kill Type
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,3,Paper Rex,Jinggg,raze,Xi Lai Gaming,coconut,gekko,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,3,Paper Rex,Jinggg,raze,Xi Lai Gaming,NoMan,skye,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,5,Paper Rex,Jinggg,raze,Xi Lai Gaming,Rarga,raze,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,5,Paper Rex,Jinggg,raze,Xi Lai Gaming,NoMan,skye,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,13,Paper Rex,Jinggg,raze,Xi Lai Gaming,Viva,brimstone,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,13,Paper Rex,Jinggg,raze,Xi Lai Gaming,Rarga,raze,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,14,Paper Rex,Jinggg,raze,Xi Lai Gaming,coconut,gekko,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,14,Paper Rex,Jinggg,raze,Xi Lai Gaming,NoMan,skye,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,21,Paper Rex,Jinggg,raze,Xi Lai Gaming,NoMan,skye,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,21,Paper Rex,Jinggg,raze,Xi Lai Gaming,Viva,brimstone,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,7,Paper Rex,Jinggg,raze,Xi Lai Gaming,coconut,gekko,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,7,Paper Rex,Jinggg,raze,Xi Lai Gaming,Rarga,raze,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,7,Paper Rex,Jinggg,raze,Xi Lai Gaming,NoMan,skye,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,8,Paper Rex,Jinggg,raze,Xi Lai Gaming,coconut,gekko,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,8,Paper Rex,Jinggg,raze,Xi Lai Gaming,NoMan,skye,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,8,Paper Rex,Jinggg,raze,Xi Lai Gaming,Viva,brimstone,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,12,Paper Rex,Jinggg,raze,Xi Lai Gaming,Rarga,raze,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,12,Paper Rex,Jinggg,raze,Xi Lai Gaming,coconut,gekko,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,12,Paper Rex,Jinggg,raze,Xi Lai Gaming,Viva,brimstone,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,15,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,NoMan,skye,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,15,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,happywei,viper,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,16,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,Rarga,raze,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,16,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,happywei,viper,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,18,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,NoMan,skye,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,18,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,coconut,gekko,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,20,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,Rarga,raze,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,20,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,NoMan,skye,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,17,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,coconut,gekko,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,17,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,Viva,brimstone,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,17,Paper Rex,f0rsakeN,brimstone,Xi Lai Gaming,Rarga,raze,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,22,Paper Rex,d4v41,viper,Xi Lai Gaming,Viva,brimstone,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,22,Paper Rex,d4v41,viper,Xi Lai Gaming,happywei,viper,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,22,Paper Rex,d4v41,viper,Xi Lai Gaming,NoMan,skye,3k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,5,Paper Rex,PatMen,fade,Xi Lai Gaming,coconut,gekko,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,5,Paper Rex,PatMen,fade,Xi Lai Gaming,happywei,viper,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,19,Paper Rex,PatMen,fade,Xi Lai Gaming,Viva,brimstone,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,19,Paper Rex,PatMen,fade,Xi Lai Gaming,NoMan,skye,2k
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,21,Paper Rex,PatMen,fade,Xi Lai Gaming,happywei,viper,2k
